pheno_id	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	PopSize	LD_Decay
pheno_317	10155	11	0.249235893718978	0.99966745692581	200	0.6
pheno_318	4775	11	0.0778475668869466	0.999396601478858	200	0.6
pheno_319	7112	11	0.0723365261680817	0.999776448803102	200	0.6
pheno_320	1246	15	0.070150776128458	0.975395726613768	200	0.6
pheno_321	4481	18	0.0843326919636039	0.99936496615865	200	0.6
pheno_322	3593	12	0.0929064473796806	0.998638062714703	200	0.6
pheno_323	9883	11	0.0702761761899248	0.999928116226212	200	0.6
pheno_324	280	13	0.5000012688413	0.768659675616155	200	0.6
pheno_325	9487	11	0.0699215919010182	0.99988537561686	200	0.6
pheno_326	5050	11	0.0695977656845555	0.999664589346951	200	0.6
pheno_327	1276	13	0.0987537033495491	0.983596094700263	200	0.6
pheno_328	7249	11	0.07668064809644	0.999861161149666	200	0.6
pheno_329	5974	11	0.065704181668438	0.999686243038708	200	0.6
pheno_330	2287	13	0.0754530323027405	0.99571491319942	200	0.6
pheno_331	4737	11	0.0732232651800828	0.999355574381299	200	0.6
pheno_332	7090	12	0.0717934000265762	0.99981778106125	200	0.6
pheno_333	2315	24	0.115774779829634	0.995138982554527	200	0.6
pheno_334	5048	14	0.0665157999303912	0.999460490666694	200	0.6
pheno_335	13391	11	0.0724740932707227	0.999926475127566	200	0.6
pheno_336	6633	11	0.0840185973183423	0.999611917200442	200	0.6
pheno_337	7251	11	0.394043613321925	0.999331654955112	200	0.6
pheno_338	5690	19	0.0766915573892219	0.999546999757921	200	0.6
pheno_339	4582	11	0.0692569871751554	0.999291089222374	200	0.6
pheno_340	4046	16	0.43329181971011	0.99663446238709	200	0.6
pheno_341	8306	11	0.0735885128781532	0.9998776986442	200	0.6
pheno_342	10635	11	0.0694073685937707	0.999941430212699	200	0.6
pheno_343	8328	14	0.0774665711836653	0.999638177743032	200	0.6
pheno_344	3764	16	0.343181316064169	0.995250833165151	200	0.6
pheno_345	8171	16	0.0707799379412293	0.999879039548628	200	0.6
pheno_346	10325	11	0.0745986616784664	0.999943956410181	200	0.6
pheno_347	4051	11	0.0770198607145205	0.999019322505048	200	0.6
pheno_348	4831	11	0.0846100255341966	0.999439986555561	200	0.6
pheno_349	2101	11	0.100244162822708	0.995800051656375	200	0.6
pheno_350	3254	17	0.324518418764581	0.994493149877349	200	0.6
pheno_351	9769	11	0.0703187634341708	0.999921688178104	200	0.6
pheno_352	9142	15	0.0686748813812342	0.999909882664974	200	0.6
pheno_353	7687	18	0.0752453728519218	0.999854249946332	200	0.6
pheno_354	6584	15	0.07329173843587	0.99983935411398	200	0.6
pheno_355	2403	21	0.0906344081295225	0.996729241521881	200	0.6
pheno_356	6371	13	0.066353858885259	0.999779778420051	200	0.6
pheno_357	5992	13	0.0799137176659109	0.999723511169006	200	0.6
pheno_358	10497	11	0.0683502804628405	0.999946257883953	200	0.6
pheno_359	3686	11	0.0759042671281947	0.999013685439436	200	0.6
pheno_360	3601	11	0.0776002536659867	0.999071269084658	200	0.6
pheno_361	8569	11	0.0815515528583932	0.999696710712589	200	0.6
pheno_362	2815	13	0.0946156813251428	0.997639635473371	200	0.6
pheno_363	5143	17	0.0734411642819295	0.999608399225193	200	0.6
pheno_364	658	11	0.0655964863789759	0.939187521860857	200	0.6
pheno_365	6869	11	0.0769466185508377	0.999731069109244	200	0.6
pheno_366	9164	11	0.0802549309185248	0.999805538367796	200	0.6
pheno_367	9008	11	0.0713608095402597	0.999902254152923	200	0.6
pheno_368	10787	11	0.0689329381299158	0.999910142747084	200	0.6
pheno_369	3922	11	0.289415972761334	0.997897926299409	200	0.6
pheno_370	2470	11	0.101129228659292	0.994733239657634	200	0.6
pheno_371	1323	11	0.401458183563762	0.96334911975802	200	0.6
pheno_372	1900	24	0.275489340393866	0.986208162630997	200	0.6
pheno_373	5748	12	0.0750021420915514	0.999683862671481	200	0.6
pheno_374	1231	11	0.535549992857724	0.947596012469318	200	0.6
pheno_375	17523	11	0.0630369597447903	0.999978031357606	200	0.6
pheno_376	863	14	0.124935328512529	0.96393643614728	200	0.6
pheno_377	19793	11	0.0596982511100031	0.99998179859628	200	0.6
pheno_378	1519	12	0.034249031107187	0.989182514979713	200	0.6
pheno_379	5169	11	0.0649926963340212	0.999596710426003	200	0.6
pheno_380	5077	23	0.565201696632583	0.998237053357455	200	0.6
pheno_381	5946	11	0.0663634065441856	0.999734936157642	200	0.6
pheno_382	5063	20	0.0753967771329891	0.999545324855069	200	0.6
pheno_383	1092	11	0.0161366447742982	0.961435795031197	200	0.6
pheno_384	4175	15	0.0792264641742756	0.999475288063259	200	0.6
pheno_385	10923	11	0.0683969006226865	0.99995903080186	200	0.6
pheno_386	10832	12	0.0659296877372607	0.999948967041003	200	0.6
pheno_387	4834	11	0.0695580719945042	0.999495179599835	200	0.6
pheno_388	1325	11	0.0740636400677325	0.975802215897442	200	0.6
pheno_389	8050	11	0.0735508281954345	0.999855397331316	200	0.6
pheno_390	2114	13	0.0878609804220684	0.995649845032122	200	0.6
pheno_391	14613	11	0.0699814708149872	0.999941738652181	200	0.6
pheno_392	11000	11	0.0695383520232054	0.999947088556046	200	0.6
pheno_393	3510	11	0.0791134865991304	0.998839047634405	200	0.6
pheno_394	8363	11	0.0675358373249824	0.999904996749798	200	0.6
pheno_395	2234	11	0.0939175982138229	0.995719342686752	200	0.6
pheno_396	12433	11	0.0748523133976682	0.999917519504397	200	0.6
pheno_397	2181	16	0.0978346355915677	0.994422740825728	200	0.6
pheno_398	2989	11	0.0559309119378287	0.998202136415473	200	0.6
pheno_399	750	13	0.040039781081943	0.911520360002644	200	0.6
pheno_400	3123	11	0.0805334871902218	0.998408950247161	200	0.6
pheno_401	4584	17	0.36231921363425	0.996878060281986	200	0.6
pheno_402	7211	15	0.0755075463650954	0.999876575764285	200	0.6
pheno_403	11122	11	0.0708906788148647	0.999955559938952	200	0.6
pheno_404	7940	11	0.0661183163434771	0.999902543610749	200	0.6
pheno_405	7326	11	0.0594239242447924	0.999870125210656	200	0.6
pheno_406	4490	20	0.0873465543431009	0.999373913568657	200	0.6
pheno_407	3520	21	0.351565792596742	0.995388541468285	200	0.6
pheno_408	3173	11	0.0791461475471144	0.998520571161768	200	0.6
